ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
1,3 - 6 months,DWC,Recurrent,11,8.08,221.37,2276,0.6104,HDM,NO,LDZ,YES
2,3 - 6 months,DWC,Recurrent,251,161.75,185.73,39149,0.5384,HDM,NO,HDZ,NO
3,7-12 months,DWC,Recurrent,68,43.13,285.14,14787,0.7052,LDM,YES,HDZ,NO
4,3 - 6 months,DWC,Recurrent,179,107.64,226.34,32323,0.7173,HDM,NO,HDZ,YES
5,1 - 2 months,DWC,New,2,11.06,174.5,334,0.0992,LDM,NO,LDZ,YES
6,1 - 2 months,DWC,Recurrent,15,8.49,137.69,1534,0.5,HDM,NO,HDZ,NO
7,3 - 6 months,DWC,Recurrent,158,115.96,261.71,30663,0.6451,HDM,YES,HDZ,NO
8,1 - 2 months,DWC,Recurrent,169,155.01,397.43,51135,0.7316,HDM,YES,HDZ,NO
9,7-12 months,DWC,Recurrent,17,14.86,392.69,5489,0.6395,LDM,NO,HDZ,YES
10,1 - 2 months,DWC,New,4,2.41,149.75,573,0.4948,HDM,NO,LDZ,YES
11,More than 12 months,DWC,Recurrent,189,103.44,243.57,33954,0.7501,HDM,NO,HDZ,NO
12,1 - 2 months,DWC,New,3,3.39,173.18,390,0.2932,HDM,NO,HDZ,YES
13,1 - 2 months,DWC,Recurrent,5,9.07,104.49,375,0.1691,HDM,NO,HDZ,YES
14,1 - 2 months,DWOC,New,8,3.76,169.66,978,0.6755,HDM,NO,HDZ,YES
15,3 - 6 months,DWC,Recurrent,43,20.61,261.76,8301,0.7437,HDM,NO,HDZ,NO
16,7-12 months,DWC,Recurrent,178,108.23,257.51,33492,0.7997,HDM,YES,HDZ,NO
17,1 - 2 months,DWOC,New,19,8.61,249.31,3400,0.7902,HDM,YES,HDZ,NO
18,1 - 2 months,DWC,Recurrent,8,9.35,214.37,1339,0.4661,LDM,NO,HDZ,NO
19,3 - 6 months,DWC,Reactivated,8,31.49,151.21,1153,0.1034,HDM,NO,HDZ,YES
20,3 - 6 months,DWC,Recurrent,8,5.07,218.29,1338,0.6781,HDM,YES,HDZ,NO
21,1 - 2 months,DWC,New,6,4.81,153.45,661,0.4592,HDM,NO,HDZ,NO
22,3 - 6 months,DWC,Reactivated,9,10.88,195.49,1707,0.4243,HDM,NO,LDZ,YES
23,3 - 6 months,DWC,Recurrent,5,11.02,259.1,1007,0.2762,HDM,NO,HDZ,YES
24,1 - 2 months,DWC,New,1,0.3,115,83,0.6694,LDM,NO,HDZ,YES
