ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
1,7-12 months,DWC,Recurrent,97,52.74,269.01,20293,0.7204,HDM,NO,HDZ,NO
2,7-12 months,DWC,Recurrent,340,241.22,312.96,79198,0.7266,HDM,YES,HDZ,NO
3,More than 12 months,DWC,Recurrent,22,10.35,266.36,4442,0.8301,LDM,NO,HDZ,NO
4,3 - 6 months,DWC,Reactivated,9,4.61,194.71,1372,0.6057,HDM,NO,HDZ,NO
5,3 - 6 months,DWC,Recurrent,28,45.59,155.44,3732,0.2268,HDM,NO,LDZ,YES
6,3 - 6 months,DWC,Reactivated,1,1.35,988.47,739,0.6537,HDM,NO,HDZ,YES
7,More than 12 months,DWC,Recurrent,105,54.94,236.78,18210,0.8021,HDM,NO,HDZ,NO
8,3 - 6 months,DWC,Reactivated,82,52.94,208.74,13658,0.5297,LDM,NO,HDZ,NO
9,3 - 6 months,DWC,Recurrent,16,21.09,223.68,3256,0.3598,HDM,NO,LDZ,NO
10,3 - 6 months,DWOC,Reactivated,41,31.49,229.17,7064,0.6725,HDM,NO,HDZ,YES
11,More than 12 months,DWC,Recurrent,187,90.23,271.65,38370,0.7468,HDM,NO,HDZ,NO
12,3 - 6 months,DWC,Recurrent,6,31.02,546.75,2594,0.1865,HDM,NO,HDZ,NO
13,3 - 6 months,DWOC,Recurrent,303,167.72,292.18,66363,0.8255,HDM,YES,HDZ,NO
14,More than 12 months,DWC,Recurrent,231,122.38,262.65,44561,0.7531,HDM,NO,HDZ,NO
15,3 - 6 months,DWC,Recurrent,62,41.31,241.41,13022,0.737,HDM,NO,HDZ,NO
16,7-12 months,DWOC,Recurrent,353,234.48,322.06,86013,0.7101,HDM,YES,HDZ,NO
17,3 - 6 months,DWC,Recurrent,115,58.56,238.01,20137,0.7224,HDM,NO,HDZ,NO
18,1 -2 months,DWC,Recurrent,355,284.58,321.9,86860,0.7213,HDM,YES,HDZ,NO
19,3 - 6 months,DWC,Recurrent,87,39,219.94,14089,0.7415,HDM,NO,HDZ,NO
20,7-12 months,DWC,Recurrent,96,54.54,244.74,19686,0.7293,HDM,NO,HDZ,NO
21,3 - 6 months,DWOC,Recurrent,367,247.43,296.52,82753,0.7963,HDM,YES,HDZ,NO
22,More than 12 months,DWC,Recurrent,113,142.34,963.23,84422,0.5976,HDM,YES,LDZ,NO
23,1 -2 months,DWC,New,1,2.14,263.49,193,0.2054,LDM,NO,HDZ,YES
24,1 -2 months,DWC,New,1,1.49,136,130,0.3671,HDM,NO,HDZ,YES
25,1 -2 months,DWC,New,75,58.15,179.83,12767,0.5457,HDM,NO,HDZ,NO
26,More than 12 months,DWC,Recurrent,192,126.02,293.43,42019,0.7342,HDM,YES,HDZ,NO
27,3 - 6 months,DWC,Recurrent,115,66.25,176.9,19508,0.7101,LDM,NO,LDZ,YES
28,3 - 6 months,DWC,Recurrent,25,30.71,87.22,1640,0.1505,LDM,NO,HDZ,NO
29,1 -2 months,DWC,New,1,3.15,129.01,123,0.1015,HDM,NO,LDZ,YES
30,3 - 6 months,DWC,Recurrent,4,9.99,139.7,535,0.1952,HDM,NO,LDZ,YES
